Title,Price,Bedrooms,Square Feet,Full Address,monthly,apartment,cats are OK - purrr,dogs are OK - wooof,laundry on site,air conditioning,off-street parking,EV charging,w/d in unit,carport,no smoking,attached garage,detached garage,laundry in bldg,Fee Needed To Apply,wheelchair accessible,no parking,furnished,street parking,no laundry on site,house,w/d hookups,date_added
1 Bedroom 1 Bath in West Los Angeles * Air Conditioning * Pet-Friendly,"$2,650",1br,850,"1810 South Bentley Avenue, West Los Angeles, CA 91423",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
1 Bedroom in Venice with 2 WEEKS FREE + Picnic Area with Barbecue,"$2,450",1br,750,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
Charming 1 bed / 1 bath with great character! 544 Sq Feet,"$3,190",1br,544,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
"Comfortable living. Conveniently located, spacious 1 bed 1 bath!","$3,145",1br,525,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
"One Month Free Rent!!, Mirrored oversized closets, Balcony or patio","$2,744",1br,800,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
- Intimate poolside cabanas,"$3,665",1br,616,"11950 Idaho Ave., Los Angeles, CA 90025",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2024-05-31
"Courtyard Seating, Tour Today, Fireplace*, A Must See","$2,964",1br,664,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Vaulted Ceiling, Cable Ready, Controlled Access Parking, Pool","$2,677",1br,767,"535 Gayley Avenue, Westwood, CA 90024",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Change Is in The Air, Feel Today, Walking Distance to UCLA","$3,205",1br,750,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31
----*** Beautiful 1 Bedroom upper unit in Santa Monica!!,"$2,450",1br,,None listed,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
"Garage, Elevator, Covered Parking, Refrigerator","$3,404",1br,700,"10959 Rochester Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-05-31
"1bed1bath, Renovated, Modern Fixtures/Appliances, Rooftop Pool, Gym","$2,301",1br,670,"3324 Castle Heights Ave., Los Angeles, CA 90034",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2024-05-31
"On-Site Management, Beautiful Landscaping, Assigned Gated Parking","$2,235",1br,797,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Window Coverings, Bike Racks, Electronic Thermostat","$2,903",1br,771,"10983 Wellworth Ave., Los Angeles, CA 90024",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31
"Dishwasher, Free Weights, Controlled Access/Gated","$4,676",1br,941,"10833 Wilshire Blvd, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31
"One Month Free Rent!!, 24-Hour cardio fitness center, Balcony or patio","$3,047",1br,800,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Great Experiences Are Just Around the Corner. Westwood Village.,"$2,828",1br,700,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31
"Garbage Disposal, Breakfast Bar*, Private Patio or Balcony","$2,964",1br,664,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"Vaulted Ceiling, Spa, Controlled Access Parking, Pool","$2,677",1br,767,"535 Gayley Avenue, Westwood, CA 90024",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31
"""Bay Street""""Newly renovated 1bedroom 1 bath - Walk to Beach!!","$1,100",1br,,None listed,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
+Very nice and bright 1 Bedroom/1 bath APT.--Near Wilshire and Montana,"$1,340",1br,,None listed,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31
Centinela Ave//--Renovated 1BR+1BA Upper Apartment IN Santa Monica!,"$1,150",1br,700,None listed,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2024-05-31
"Fabulous 1 BR living space, in-unit washer/dryer. Call us today!","$5,200",1br,716,"3630 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2024-05-31
"Beautiful Landscaping, Renovations, Cozy Fireplaces, Central A/C","$2,231",1br,647,"12427 W Jefferson Blvd, Los Angeles, CA 90066",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2024-05-31
Wood Style Floors - SPECIALS - Cat-Friendly - 1+1 in West Los Angeles,"$2,250",1br,700,"4111 Mclaughlin Avenue, Los Angeles, CA 90066",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31
Everything You Need. All Right Here.,"$3,712",1br,870,None listed,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31
Because location really is everything! Prelease Today! Close to UCLA.,"$2,793",1br,700,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31
