title,price,Bedrooms,square_feet,full_address,monthly,apartment,cats_allowed,dogs_allowed,laundry_on_site,air_conditioning,off_street_parking,EV_charging,washer_dryer_in_unit,carport,no_smoking,attached_garage,detached_garage,laundry_in_bldg,fee_needed_to_apply,wheelchair_accessible,no_parking,furnished,street_parking,no_laundry_on_site,house,washer_dryer_hookups,latitude,longitude,nearest_budget_grocery_store_distance,nearest_budget_grocery_store,nearest_midTier_grocery_store_distance,nearest_midTier_grocery_store,nearest_premium_grocery_store_distance,nearest_premium_grocery_store
1 Bedroom in Marina Del Rey -Quartz Counters -Fitness Center -Gated,3295,1br,750,"415 Washington Boulevard, Venice, CA 90292",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9814954,-118.4631172,1.2120940252318386,"Costco Bakery - 13463 Washington Blvd, Marina Del Rey",1.155450704280247,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",0.5699740395339166,"Erewhon - 585 Venice Blvd., Venice"
1 Bedroom 1 BA in West L.A. | Hardwood Style Flrs | Parking | Quartz,2250,1br,700,None listed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
"Lease TODAY, Save BIG! One Month FREE Rent Offer!",2700,1br,590,"11411 Rochester Avenue, Los Angeles, CA 90025",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0490045,-118.4540491,0.8693155258174267,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.796003980797582,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.8257425222580473,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
1 Bedroom in the Heart of Venice* Plank Floors* Refrigerator,2895,1br,750,"237 Fourth Avenue, Venice, CA 90291",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9980902,-118.475972,0.6960200059003282,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.843991729320639,"Ralphs - 910 Lincoln Blvd, Venice",0.4083445268519531,"Whole Foods Market - 225 Lincoln Blvd, Venice"
"SPECIALS, Rooftop Sky Deck, Brand New 1+1 Brentwood ADJ",3438,1br,711,"11916 West Pico Boulevard, Los Angeles, CA 90064",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0298043,-118.4486693,0.7904210706390106,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.2676949310551013,"Trader Joe's - 11755 W Olympic Blvd, Los Angeles",0.7946014440809652,"Whole Foods Market - 11666 National Blvd, Los Angeles"
1 Bedroom 1 Bath Westwood Apartment in Westwood Near UCLA!,3175,1br,,"972 Hilgard Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0617237,-118.441019,1.7442010372025136,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.1621532071674868,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.3404180814453353,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Dishwasher, Efficient Appliances, 1 Bed",2895,1br,575,"1720 Pacific Ave, Venice, CA 90291",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.987065,-118.4707481,1.0096293061042994,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.997125274514138,"Ralphs - 910 Lincoln Blvd, Venice",0.5282869673357267,"Erewhon - 585 Venice Blvd., Venice"
Newly Renovated 1 Bedroom 1 BA in Westwood ^ Central A/C ^ Parking,3095,1br,644,"520 Kelton Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0676797,-118.4532517,2.0291176114610407,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.5970860781106915,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.5762949311362707,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
Westwood 1 Bedroom 1 Bath Apartment! w/ Fireplace/Gas Stove/Oven+More,2775,1br,,"10969 Rochester Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0557576,-118.445012,1.3874535639800072,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.455480943576436,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.2981559830566417,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1 Bedroom 1 Bath Westwood Apt Near UCLA, w/ Laminate Floors & More",2925,1br,,"1400 Midvale Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0547848,-118.4421853,1.280941601085658,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5250872921593858,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.128452112126476,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
