Title,Price,Bedrooms,Square Feet,Full Address,monthly,apartment,cats are OK - purrr,dogs are OK - wooof,laundry on site,air conditioning,off-street parking,EV charging,w/d in unit,carport,no smoking,attached garage,detached garage,laundry in bldg,Fee Needed To Apply,wheelchair accessible,no parking,furnished,street parking,no laundry on site,house,w/d hookups,date_added
Title Not Found,Price Not Found,Bedrooms Info Not Found,Square Feet Not Found,None listed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom in the Heart of Venice* Plank Floors* Refrigerator,"$2,895 ",1br,750,"237 Fourth Avenue, Venice, CA 90291",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"SPECIALS, Rooftop Sky Deck, Brand New 1+1 Brentwood ADJ","$3,438 ",1br,711,"11916 West Pico Boulevard, Los Angeles, CA 90064",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
1 Bedroom 1 Bath Westwood Apartment in Westwood Near UCLA!,"$3,175 ",1br,,"972 Hilgard Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
"Dishwasher, Efficient Appliances, 1 Bed","$2,895 ",1br,575,"1720 Pacific Ave, Venice, CA 90291",1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Newly Renovated 1 Bedroom 1 BA in Westwood ^ Central A/C ^ Parking,"$3,095 ",1br,644,"520 Kelton Avenue, Los Angeles, CA 90024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
Westwood 1 Bedroom 1 Bath Apartment! w/ Fireplace/Gas Stove/Oven+More,"$2,775 ",1br,,"10969 Rochester Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
"Lease TODAY, Save BIG! One Month FREE Rent Offer!","$2,700 ",1br,590,"11411 Rochester Avenue, Los Angeles, CA 90025",1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
"1 Bedroom 1 Bath Westwood Apt Near UCLA, w/ Laminate Floors & More","$2,925 ",1br,,"1400 Midvale Ave, Los Angeles, CA 90024",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2024-03-20
"✼ Lovely 1+1 Close to Culver City, Ceiling Fan, Vinyl Flooring ✼","$1,900 ",1br,750,None listed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2024-03-20
