title,price,Bedrooms,square_feet,full_address,monthly,apartment,cats_allowed,dogs_allowed,laundry_on_site,air_conditioning,off_street_parking,EV_charging,washer_dryer_in_unit,carport,no_smoking,attached_garage,detached_garage,laundry_in_bldg,fee_needed_to_apply,wheelchair_accessible,no_parking,furnished,street_parking,no_laundry_on_site,house,washer_dryer_hookups,latitude,longitude,nearest_budget_grocery_store_distance,nearest_budget_grocery_store,nearest_midTier_grocery_store_distance,nearest_midTier_grocery_store,nearest_premium_grocery_store_distance,nearest_premium_grocery_store
1 Bedroom in Marina Del Rey -Quartz Counters -Fitness Center -Gated,3295,1br,750.0,"415 Washington Boulevard, Venice, CA 90292",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9814954,-118.4631172,1.2120940252318386,"Costco Bakery - 13463 Washington Blvd, Marina Del Rey",1.155450704280247,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",0.5699740395339166,"Erewhon - 585 Venice Blvd., Venice"
"Lease TODAY, Save BIG! One Month FREE Rent Offer!",2700,1br,590.0,"11411 Rochester Avenue, Los Angeles, CA 90025",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.0490045,-118.4540491,0.8693155258174267,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.796003980797582,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.8257425222580473,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
1 Bedroom in the Heart of Venice* Plank Floors* Refrigerator,2895,1br,750.0,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.9980902,-118.475972,0.6960200059003282,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.843991729320639,"Ralphs - 910 Lincoln Blvd, Venice",0.4083445268519531,"Whole Foods Market - 225 Lincoln Blvd, Venice"
"SPECIALS, Rooftop Sky Deck, Brand New 1+1 Brentwood ADJ",3438,1br,711.0,"11916 West Pico Boulevard, Los Angeles, CA 90064",1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,34.0298043,-118.4486693,0.7904210706390106,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.2676949310551013,"Trader Joe's - 11755 W Olympic Blvd, Los Angeles",0.7946014440809652,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Dishwasher, Efficient Appliances, 1 Bed",2895,1br,575.0,"1720 Pacific Ave, Venice, CA 90291",1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.987065,-118.4707481,1.0096293061042994,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.997125274514138,"Ralphs - 910 Lincoln Blvd, Venice",0.5282869673357267,"Erewhon - 585 Venice Blvd., Venice"
Newly Renovated 1 Bedroom 1 BA in Westwood ^ Central A/C ^ Parking,3095,1br,644.0,"520 Kelton Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0676797,-118.4532517,2.0291176114610407,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.5970860781106915,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.5762949311362707,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"SS Appliances, Walk-in Closet, Upgraded Counters | 1+1 in Venice",3095,1br,750.0,"232-236 Third Ave, Venice, CA 90291",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9979274,-118.4765675,0.7318708830495178,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.8790119394669738,"Ralphs - 910 Lincoln Blvd, Venice",0.4434081629044986,"Whole Foods Market - 225 Lincoln Blvd, Venice"
Mar Vista/West Los Angeles 1 BEDROOM + Pool + A/C + Fully Renovated,2350,1br,681.0,"3749 McLaughlin Ave, West Los Angeles, CA 90066",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0091508,-118.4254947,1.6496815316178344,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",1.251274920345814,"Ralphs - 11361 National Blvd, Los Angeles",1.165846944390809,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Swimming Pool ^ 1 Bedroom in Palms ^ Specials ^ Wood Style Flooring,1900,1br,550.0,"3258 Overland Avenue, Palms, CA 90034",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.028098,-118.4138161,1.484185867791125,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.125289947306103,"Ralphs - 11361 National Blvd, Los Angeles",1.435882508387226,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Renovated Furnished Co-living Near UCLA - Central A/C - Patio/Balcony,1695,1br,143.0,"1533 Selby Avenue, Los Angeles, CA 90024",1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,34.05462920000001,-118.4377134,1.2430146310836918,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.6316962734280558,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.1828998733098586,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1 Month Free, SS Appliances, Furnished Co-Living in West LA, W/D",2050,1br,200.0,"Butler Ave, Los Angeles, CA 90025",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,34.037859,-118.4453239,0.4502276071574607,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.295439445367508,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",1.1126323695097928,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1/bd, in Santa Monica CA, Elfa Closet System",2471,1br,382.0,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.0183996,-118.4898922,1.915444945193366,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.2396949173789324,"Trader Joe's - 500 Broadway, Santa Monica",1.0338734412841484,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
1 Bedroom 1 Bath in West Los Angeles * Quartz Counters * Parking,2595,1br,800.0,"1709 South Westgate Avenue, West Los Angeles, CA 90025",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0391339,-118.4567968,0.4381306677698006,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.5295776066118012,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.9214992104584244,"Bristol Farms - 3105 Wilshire Blvd, Santa Monica"
Beautiful 1 Bedroom In West Los Angeles * Ceiling Fan * Quartz,2325,1br,700.0,"1323 Federal Avenue, West Los Angeles, CA 90025",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0475503,-118.4569787,0.6835855839332764,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.6047611200794256,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.727241086826514,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
Pet Friendly 1 Bedroom Apartment with Central A/c and Heat!,2858,1br,745.0,"3740 Keystone Av, Los Angeles, CA 90034",1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,34.0207851,-118.4068628,2.073074819901287,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.557943711186842,"Ralphs - 11361 National Blvd, Los Angeles",1.784765398299878,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Check us out! Great 1 BD / 1 BA by public transportation. 704 SqFt!,3125,1br,704.0,"10300 Venice Blvd, Culver City, CA 90232",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,34.020852,-118.4025694,2.2832807611363544,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.7969685901668493,"Ralphs - 11361 National Blvd, Los Angeles",2.0298978573054907,"Whole Foods Market - 11666 National Blvd, Los Angeles"
